iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-04-27T17:00:53.896Z,1777309252000,1777309253409,1777309253896,1777309253896,846104,846,76615.64,76726.40,76720.08,0.235038,0.565226,0.868307,0.678628,0.764196,0.740000,0.750000,0.250000,0.260000,0.118307,,,0,-0.071372,,,0,0.014196,,,0
2026-04-27T17:00:54.342Z,1777309253000,1777309253409,1777309254342,1777309254342,845658,846,76615.64,76719.71,76720.08,0.235038,0.565226,0.868370,0.678672,0.750644,0.710000,0.740000,0.260000,0.290000,0.128370,,,0,-0.061328,,,0,0.010644,,,0
2026-04-27T17:00:54.697Z,1777309253000,1777309254410,1777309254697,1777309254697,845303,845,76615.64,76719.71,76714.27,0.235038,0.565226,0.854680,0.669382,0.750689,0.710000,0.720000,0.280000,0.290000,0.134680,,,0,-0.050618,,,0,0.030689,,,0
2026-04-27T17:00:55.358Z,1777309254000,1777309254410,1777309255358,1777309255358,844642,845,76615.64,76707.67,76714.27,0.235038,0.565226,0.854775,0.669444,0.725269,0.710000,0.720000,0.280000,0.290000,0.134775,,,0,-0.050556,,,0,0.005269,,,0
2026-04-27T17:00:56.405Z,1777309255000,1777309256427,1777309256405,1777309256405,843595,844,76615.64,76703.30,76704.17,0.235038,0.565226,0.828785,0.653051,0.715820,0.690000,0.700000,0.300000,0.310000,0.128785,,,0,-0.046949,,,0,0.015820,,,0
2026-04-27T17:00:56.839Z,1777309255000,1777309256427,1777309256839,1777309256839,843161,843,76615.64,76703.30,76704.17,0.235038,0.565226,0.828847,0.653088,0.715870,0.690000,0.710000,0.290000,0.310000,0.118847,,,0,-0.056912,,,0,0.005870,,,0
2026-04-27T17:00:56.958Z,1777309256000,1777309256427,1777309256958,1777309256958,843042,843,76615.64,76701.66,76704.17,0.235038,0.565226,0.828864,0.653099,0.712258,0.690000,0.710000,0.290000,0.310000,0.118864,,,0,-0.056901,,,0,0.002258,,,0
2026-04-27T17:00:57.203Z,1777309256000,1777309256427,1777309257203,1777309257203,842797,843,76615.64,76701.66,76704.17,0.235038,0.565226,0.828899,0.653120,0.712285,0.700000,0.710000,0.290000,0.300000,0.118899,,,0,-0.056880,,,0,0.002285,,,0
2026-04-27T17:00:57.830Z,1777309257000,1777309257178,1777309257830,1777309257830,842170,842,76615.64,76694.95,76704.17,0.235038,0.565226,0.828989,0.653174,0.697248,0.700000,0.710000,0.290000,0.300000,0.118989,,,0,-0.056826,,,0,-0.012752,,,0
2026-04-27T17:00:58.622Z,1777309257000,1777309258426,1777309258622,1777309258622,841378,841,76615.64,76694.95,76704.17,0.235038,0.565226,0.829102,0.653243,0.697334,0.700000,0.730000,0.270000,0.300000,0.099102,,,0,-0.076757,,,0,-0.032666,,,0
2026-04-27T17:00:58.855Z,1777309258000,1777309258426,1777309258855,1777309258855,841145,841,76615.64,76691.61,76704.17,0.235038,0.565226,0.829136,0.653264,0.689717,0.700000,0.730000,0.270000,0.300000,0.099136,0.121962,-0.022826,0,-0.076736,-0.058510,-0.018227,0,-0.040283,0.004161,-0.044444,0
2026-04-27T17:00:59.027Z,1777309258000,1777309258426,1777309259027,1777309259027,840973,841,76615.64,76691.61,76704.17,0.235038,0.565226,0.829161,0.653279,0.689735,0.710000,0.720000,0.280000,0.290000,0.109161,0.120045,-0.010884,0,-0.066721,-0.059046,-0.007675,0,-0.030265,-0.001287,-0.028978,0
2026-04-27T17:00:59.587Z,1777309258000,1777309259421,1777309259587,1777309259587,840413,840,76615.64,76691.61,76704.17,0.235038,0.565226,0.829241,0.653327,0.689793,0.700000,0.720000,0.280000,0.300000,0.109241,0.118124,-0.008883,0,-0.066673,-0.059586,-0.007087,0,-0.030207,-0.005377,-0.024829,0
2026-04-27T17:01:00.355Z,1777309259000,1777309259421,1777309260355,1777309260355,839645,840,76615.64,76691.03,76704.17,0.235038,0.565226,0.829352,0.653394,0.688527,0.700000,0.710000,0.290000,0.300000,0.119352,0.115580,0.003772,0,-0.056606,-0.061191,0.004586,0,-0.021473,-0.011467,-0.010006,0
2026-04-27T17:01:01.459Z,1777309260000,1777309261383,1777309261459,1777309261459,838541,839,76615.64,76690.98,76717.99,0.235038,0.565226,0.864525,0.676011,0.688520,0.710000,0.730000,0.270000,0.290000,0.134525,0.114037,0.020488,0,-0.053989,-0.061796,0.007808,0,-0.041480,-0.014141,-0.027339,0
2026-04-27T17:01:01.607Z,1777309260000,1777309261383,1777309261607,1777309261607,838393,838,76615.64,76690.98,76717.99,0.235038,0.565226,0.864546,0.676026,0.688535,0.730000,0.740000,0.260000,0.270000,0.124546,0.114612,0.009935,0,-0.063974,-0.062500,-0.001474,0,-0.051465,-0.019871,-0.031593,-1
2026-04-27T17:01:01.995Z,1777309261000,1777309261383,1777309261995,1777309261995,838005,838,76615.64,76690.48,76717.99,0.235038,0.565226,0.864602,0.676064,0.687426,0.730000,0.740000,0.260000,0.270000,0.124602,0.115181,0.009420,0,-0.063936,-0.063206,-0.000730,0,-0.052574,-0.025605,-0.026970,0
2026-04-27T17:01:02.845Z,1777309261000,1777309262410,1777309262845,1777309262845,837155,837,76615.64,76690.48,76707.73,0.235038,0.565226,0.839242,0.659474,0.687514,0.720000,0.730000,0.270000,0.280000,0.109242,0.115755,-0.006513,0,-0.070526,-0.063910,-0.006616,0,-0.042486,-0.031088,-0.011398,0
