iso_time,ts,published_at,fair_value,confidence,sigma,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-17T09:20:52.949Z,1776417652949,1776417652949,0.084016,0.547051,0.000046,75801.58,75801.58,75913.50,0.210000,0.220000,0.780000,0.790000,547051,547,0.220000,-0.135984,,
2026-04-17T09:20:53.927Z,1776417653927,1776417653927,0.077352,0.546073,0.000044,75801.58,75801.58,75913.50,0.210000,0.220000,0.780000,0.790000,546073,546,0.220000,-0.142648,,
2026-04-17T09:20:54.897Z,1776417654897,1776417654897,0.070960,0.545103,0.000043,75801.61,75801.61,75913.50,0.210000,0.220000,0.780000,0.790000,545103,545,0.220000,-0.149040,,
2026-04-17T09:20:56.353Z,1776417656353,1776417656353,0.072984,0.543647,0.000043,75804.17,75804.17,75913.50,0.210000,0.220000,0.780000,0.790000,543647,544,0.220000,-0.147016,,
2026-04-17T09:20:57.416Z,1776417657416,1776417657416,0.066692,0.542584,0.000041,75804.18,75804.18,75913.50,0.210000,0.220000,0.780000,0.790000,542584,543,0.220000,-0.153308,-0.145599,-0.007709
2026-04-17T09:20:58.352Z,1776417658352,1776417658352,0.061123,0.541648,0.000040,75804.43,75804.43,75913.50,0.210000,0.220000,0.780000,0.790000,541648,542,0.220000,-0.158877,-0.150178,-0.008699
2026-04-17T09:20:59.411Z,1776417659411,1776417659411,0.056242,0.540589,0.000039,75804.92,75804.92,75913.50,0.210000,0.220000,0.780000,0.790000,540589,541,0.220000,-0.163758,-0.154400,-0.009358
2026-04-17T09:20:59.982Z,1776417659982,1776417659982,0.056147,0.540018,0.000039,75804.92,75804.92,75913.50,0.220000,0.230000,0.770000,0.780000,540018,540,0.230000,-0.173853,-0.159362,-0.014490
2026-04-17T09:21:00.443Z,1776417660443,1776417660443,0.051279,0.539557,0.000038,75805.26,75805.26,75913.50,0.220000,0.230000,0.770000,0.780000,539557,540,0.230000,-0.178721,-0.165703,-0.013018
2026-04-17T09:21:01.555Z,1776417661555,1776417661555,0.080297,0.538445,0.000041,75811.31,75811.31,75913.50,0.220000,0.230000,0.770000,0.780000,538445,538,0.230000,-0.149703,-0.164982,0.015279
2026-04-17T09:21:02.090Z,1776417662090,1776417662090,0.085606,0.537910,0.000041,75814.25,75814.25,75913.50,0.220000,0.230000,0.770000,0.780000,537910,538,0.230000,-0.144394,-0.162086,0.017692
2026-04-17T09:21:02.420Z,1776417662420,1776417662420,0.085541,0.537580,0.000041,75814.25,75814.25,75913.50,0.210000,0.220000,0.780000,0.790000,537580,538,0.220000,-0.134459,-0.156226,0.021767
2026-04-17T09:21:03.156Z,1776417663156,1776417663156,0.079666,0.536844,0.000040,75814.59,75814.59,75913.50,0.210000,0.220000,0.780000,0.790000,536844,537,0.220000,-0.140334,-0.149522,0.009188
2026-04-17T09:21:04.311Z,1776417664311,1776417664311,0.073101,0.535689,0.000039,75814.59,75814.59,75913.50,0.210000,0.220000,0.780000,0.790000,535689,536,0.220000,-0.146899,-0.143158,-0.003741
2026-04-17T09:21:05.548Z,1776417665548,1776417665548,0.065421,0.534452,0.000038,75813.27,75813.27,75913.50,0.210000,0.220000,0.780000,0.790000,534452,534,0.220000,-0.154579,-0.144133,-0.010446
2026-04-17T09:21:06.254Z,1776417666254,1776417666254,0.059467,0.533746,0.000037,75813.27,75813.27,75913.50,0.210000,0.220000,0.780000,0.790000,533746,534,0.220000,-0.160533,-0.147361,-0.013172
2026-04-17T09:21:07.333Z,1776417667333,1776417667333,0.053843,0.532667,0.000036,75813.34,75813.34,75913.50,0.210000,0.220000,0.780000,0.790000,532667,533,0.220000,-0.166157,-0.153700,-0.012457
2026-04-17T09:21:07.552Z,1776417667552,1776417667552,0.053807,0.532448,0.000036,75813.34,75813.34,75913.50,0.180000,0.200000,0.800000,0.820000,532448,532,0.200000,-0.146193,-0.154872,0.008679
2026-04-17T09:21:07.576Z,1776417667576,1776417667576,0.053803,0.532424,0.000036,75813.34,75813.34,75913.50,0.180000,0.190000,0.810000,0.820000,532424,532,0.190000,-0.136197,-0.152732,0.016534
2026-04-17T09:21:08.004Z,1776417668004,1776417668004,0.048432,0.531996,0.000034,75813.34,75813.34,75913.50,0.180000,0.190000,0.810000,0.820000,531996,532,0.190000,-0.141568,-0.150130,0.008562
2026-04-17T09:21:09.220Z,1776417669220,1776417669220,0.044309,0.530780,0.000035,75810.60,75810.60,75913.50,0.180000,0.190000,0.810000,0.820000,530780,531,0.190000,-0.145691,-0.147161,0.001471
