iso_time,ts,published_at,fair_value,confidence,sigma,annualized_sigma,fair_value_40pct_annual,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-20T03:06:43.169Z,1776654403169,1776654403169,0.146107,0.496831,0.000013,0.073264,0.423211,74415.20,74415.20,74438.00,0.400000,0.420000,0.580000,0.600000,496831,497,0.420000,-0.273893,,
2026-04-20T03:06:44.210Z,1776654404210,1776654404210,0.145855,0.495790,0.000013,0.073264,0.423132,74415.20,74415.20,74438.00,0.410000,0.420000,0.580000,0.590000,495790,496,0.420000,-0.274145,,
2026-04-20T03:06:44.539Z,1776654404539,1776654404539,0.258345,0.495461,0.000018,0.099481,0.435647,74418.97,74418.97,74438.00,0.410000,0.420000,0.580000,0.590000,495461,495,0.420000,-0.161655,,
2026-04-20T03:06:45.704Z,1776654405704,1776654405704,0.259866,0.494296,0.000017,0.097107,0.437611,74419.58,74419.58,74438.00,0.410000,0.420000,0.580000,0.590000,494296,494,0.420000,-0.160134,,
2026-04-20T03:06:46.219Z,1776654406219,1776654406219,0.256207,0.493781,0.000017,0.094250,0.438371,74419.82,74419.82,74438.00,0.410000,0.420000,0.580000,0.590000,493781,494,0.420000,-0.163793,-0.206724,0.042931
2026-04-20T03:06:47.286Z,1776654407286,1776654407286,0.246118,0.492714,0.000016,0.091566,0.437245,74419.50,74419.50,74438.00,0.410000,0.420000,0.580000,0.590000,492714,493,0.420000,-0.173882,-0.186722,0.012840
2026-04-20T03:06:48.357Z,1776654408357,1776654408357,0.236756,0.491643,0.000016,0.088870,0.436441,74419.28,74419.28,74438.00,0.410000,0.420000,0.580000,0.590000,491643,492,0.420000,-0.183244,-0.168541,-0.014703
2026-04-20T03:06:48.929Z,1776654408929,1776654408929,0.229736,0.491071,0.000015,0.086162,0.436404,74419.28,74419.28,74438.00,0.410000,0.420000,0.580000,0.590000,491071,491,0.420000,-0.190264,-0.174263,-0.016001
2026-04-20T03:06:50.557Z,1776654410557,1776654410557,0.222422,0.489443,0.000017,0.093939,0.428507,74416.96,74416.96,74438.00,0.410000,0.420000,0.580000,0.590000,489443,489,0.420000,-0.197578,-0.181752,-0.015826
2026-04-20T03:06:51.107Z,1776654411107,1776654411107,0.209444,0.488893,0.000016,0.092408,0.425637,74416.11,74416.11,74438.00,0.410000,0.420000,0.580000,0.590000,488893,489,0.420000,-0.210556,-0.191105,-0.019451
2026-04-20T03:06:51.600Z,1776654411600,1776654411600,0.209327,0.488400,0.000016,0.092408,0.425601,74416.11,74416.11,74438.00,0.400000,0.420000,0.580000,0.600000,488400,488,0.420000,-0.210673,-0.198463,-0.012210
2026-04-20T03:06:51.680Z,1776654411680,1776654411680,0.209308,0.488320,0.000016,0.092408,0.425595,74416.11,74416.11,74438.00,0.380000,0.410000,0.590000,0.620000,488320,488,0.410000,-0.200692,-0.201953,0.001260
2026-04-20T03:06:51.791Z,1776654411791,1776654411791,0.209281,0.488209,0.000016,0.092408,0.425586,74416.11,74416.11,74438.00,0.370000,0.390000,0.610000,0.630000,488209,488,0.390000,-0.180719,-0.200044,0.019325
2026-04-20T03:06:52.119Z,1776654412119,1776654412119,0.209203,0.487881,0.000016,0.092408,0.425562,74416.11,74416.11,74438.00,0.370000,0.380000,0.620000,0.630000,487881,488,0.380000,-0.170797,-0.194688,0.023891
2026-04-20T03:06:52.224Z,1776654412224,1776654412224,0.200004,0.487776,0.000016,0.089670,0.424885,74415.91,74415.91,74438.00,0.370000,0.380000,0.620000,0.630000,487776,488,0.380000,-0.179996,-0.188575,0.008580
2026-04-20T03:06:53.347Z,1776654413347,1776654413347,0.198455,0.486653,0.000016,0.089670,0.424398,74415.79,74415.79,74438.00,0.360000,0.380000,0.620000,0.640000,486653,487,0.380000,-0.181545,-0.182750,0.001205
2026-04-20T03:06:53.391Z,1776654413391,1776654413391,0.198444,0.486609,0.000016,0.089670,0.424394,74415.79,74415.79,74438.00,0.360000,0.370000,0.630000,0.640000,486609,487,0.370000,-0.171556,-0.176923,0.005367
2026-04-20T03:06:54.566Z,1776654414566,1776654414566,0.191308,0.485434,0.000018,0.103514,0.410339,74411.61,74411.61,74438.00,0.360000,0.370000,0.630000,0.640000,485434,485,0.370000,-0.178692,-0.176517,-0.002175
2026-04-20T03:06:55.139Z,1776654415139,1776654415139,0.208143,0.484861,0.000019,0.104558,0.415580,74413.20,74413.20,74438.00,0.360000,0.370000,0.630000,0.640000,484861,485,0.370000,-0.161857,-0.174729,0.012872
2026-04-20T03:06:55.320Z,1776654415320,1776654415320,0.208100,0.484680,0.000019,0.104558,0.415565,74413.20,74413.20,74438.00,0.350000,0.360000,0.640000,0.650000,484680,485,0.360000,-0.151900,-0.169110,0.017210
2026-04-20T03:06:56.433Z,1776654416433,1776654416433,0.199599,0.483567,0.000020,0.110805,0.407392,74410.78,74410.78,74438.00,0.350000,0.360000,0.640000,0.650000,483567,484,0.360000,-0.160401,-0.164881,0.004480
2026-04-20T03:06:57.538Z,1776654417538,1776654417538,0.197340,0.482462,0.000019,0.107834,0.408974,74411.28,74411.28,74438.00,0.350000,0.360000,0.640000,0.650000,482462,482,0.360000,-0.162660,-0.163102,0.000442
