iso_time,ts,published_at,fair_value,fair_value_blended_sigma,confidence,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-22T04:36:12.348Z,1776832572348,1776832572348,0.485014,0.491737,0.527652,0.150511,0.494163,77521.86,77535.98,77523.64,0.490000,0.500000,0.500000,0.510000,527652,528,0.500000,-0.014986,,,-0.005837,,,-0.008263,,
2026-04-22T04:36:13.377Z,1776832573377,1776832573377,0.498201,0.498875,0.526623,0.148597,0.499055,77523.44,77535.98,77523.64,0.490000,0.500000,0.500000,0.510000,526623,527,0.500000,-0.001799,,,-0.000945,,,-0.001125,,
2026-04-22T04:36:13.882Z,1776832573882,1776832573882,0.498072,0.498828,0.526118,0.144070,0.499027,77523.43,77535.98,77523.64,0.490000,0.500000,0.500000,0.510000,526118,526,0.500000,-0.001928,,,-0.000973,,,-0.001172,,
2026-04-22T04:36:14.809Z,1776832574809,1776832574809,0.498071,0.498828,0.525191,0.144070,0.499027,77523.43,77535.98,77523.64,0.500000,0.510000,0.490000,0.500000,525191,525,0.510000,-0.011929,,,-0.010973,,,-0.011172,,
2026-04-22T04:36:15.017Z,1776832575017,1776832575017,0.507588,0.503745,0.524983,0.140961,0.502341,77524.50,77535.98,77523.64,0.500000,0.510000,0.490000,0.500000,524983,525,0.510000,-0.002412,,,-0.007659,,,-0.006255,,
2026-04-22T04:36:16.645Z,1776832576645,1776832576645,0.538622,0.520952,0.523355,0.152609,0.514239,77528.33,77535.98,77523.64,0.500000,0.510000,0.490000,0.500000,523355,523,0.510000,0.028622,,,0.004239,,,0.010952,,
2026-04-22T04:36:17.227Z,1776832577227,1776832577227,0.539862,0.521143,0.522773,0.147960,0.514248,77528.33,77535.98,77523.64,0.500000,0.510000,0.490000,0.500000,522773,523,0.510000,0.029862,,,0.004248,,,0.011143,,
2026-04-22T04:36:18.474Z,1776832578474,1776832578474,0.540368,0.520929,0.521526,0.143462,0.513983,77528.24,77538.87,77523.64,0.500000,0.510000,0.490000,0.500000,521526,522,0.510000,0.030368,,,0.003983,,,0.010929,,
2026-04-22T04:36:18.578Z,1776832578578,1776832578578,0.540372,0.520931,0.521422,0.143462,0.513985,77528.24,77538.87,77523.64,0.500000,0.520000,0.480000,0.500000,521422,521,0.520000,0.020372,,,-0.006015,,,0.000931,,
2026-04-22T04:36:18.701Z,1776832578701,1776832578701,0.540377,0.520933,0.521299,0.143462,0.513986,77528.24,77538.87,77523.64,0.510000,0.520000,0.480000,0.490000,521299,521,0.520000,0.020377,,,-0.006014,,,0.000933,,
2026-04-22T04:36:18.825Z,1776832578825,1776832578825,0.540382,0.520936,0.521175,0.143462,0.513988,77528.24,77538.87,77523.64,0.510000,0.530000,0.470000,0.490000,521175,521,0.530000,0.010382,0.009655,0.000727,-0.016012,-0.002595,-0.013417,-0.009064,0.000690,-0.009754
2026-04-22T04:36:18.924Z,1776832578924,1776832578924,0.541353,0.520954,0.521076,0.139093,0.513885,77528.20,77538.87,77523.64,0.510000,0.530000,0.470000,0.490000,521076,521,0.530000,0.011353,0.012191,-0.000838,-0.016115,-0.003612,-0.012503,-0.009046,0.000610,-0.009656
2026-04-22T04:36:19.184Z,1776832579184,1776832579184,0.541364,0.520959,0.520816,0.139093,0.513889,77528.20,77549.51,77523.64,0.520000,0.530000,0.470000,0.480000,520816,521,0.530000,0.011364,0.013507,-0.002143,-0.016111,-0.005129,-0.010982,-0.009041,-0.000182,-0.008859
2026-04-22T04:36:19.425Z,1776832579425,1776832579425,0.541373,0.520964,0.520575,0.139093,0.513892,77528.20,77549.51,77523.64,0.520000,0.540000,0.460000,0.480000,520575,521,0.540000,0.001373,0.014836,-0.013463,-0.026108,-0.006643,-0.019465,-0.019036,-0.000969,-0.018067
2026-04-22T04:36:19.770Z,1776832579770,1776832579770,0.541387,0.520971,0.520230,0.139093,0.513897,77528.20,77549.51,77523.64,0.540000,0.550000,0.450000,0.460000,520230,520,0.550000,-0.008613,0.016166,-0.024779,-0.036103,-0.008156,-0.027947,-0.029029,-0.001756,-0.027273
2026-04-22T04:36:20.127Z,1776832580127,1776832580127,0.550966,0.525425,0.519873,0.135851,0.516786,77529.13,77549.51,77523.64,0.540000,0.550000,0.450000,0.460000,519873,520,0.550000,0.000966,0.015546,-0.014580,-0.033214,-0.011001,-0.022213,-0.024575,-0.004033,-0.020542
2026-04-22T04:36:21.213Z,1776832581213,1776832581213,0.573499,0.537670,0.518787,0.140048,0.525167,77531.81,77549.51,77523.64,0.540000,0.550000,0.450000,0.460000,518787,519,0.550000,0.023499,0.012780,0.010719,-0.024833,-0.014746,-0.010087,-0.012330,-0.007586,-0.004744
2026-04-22T04:36:21.849Z,1776832581849,1776832581849,0.573544,0.537694,0.518151,0.140048,0.525183,77531.81,77549.51,77523.64,0.540000,0.560000,0.440000,0.460000,518151,518,0.560000,0.013544,0.012144,0.001400,-0.034817,-0.017654,-0.017163,-0.022306,-0.009933,-0.012374
2026-04-22T04:36:22.114Z,1776832582114,1776832582114,0.573562,0.537703,0.517886,0.140048,0.525189,77531.81,77549.51,77523.64,0.550000,0.560000,0.440000,0.450000,517886,518,0.560000,0.013562,0.010462,0.003101,-0.034811,-0.021534,-0.013277,-0.022297,-0.013256,-0.009040
2026-04-22T04:36:22.680Z,1776832582680,1776832582680,0.577019,0.538599,0.517320,0.135799,0.525589,77531.94,77549.51,77523.64,0.550000,0.560000,0.440000,0.450000,517320,517,0.560000,0.017019,0.009781,0.007239,-0.034411,-0.024414,-0.009997,-0.021401,-0.015579,-0.005822
2026-04-22T04:36:23.284Z,1776832583284,1776832583284,0.580712,0.539548,0.516716,0.131684,0.526022,77532.07,77549.51,77523.64,0.550000,0.560000,0.440000,0.450000,516716,517,0.560000,0.020712,0.009445,0.011267,-0.033978,-0.027253,-0.006725,-0.020452,-0.017812,-0.002640
2026-04-22T04:36:24.024Z,1776832584024,1776832584024,0.580769,0.539577,0.515976,0.131684,0.526041,77532.07,77549.51,77523.64,0.550000,0.570000,0.430000,0.450000,515976,516,0.570000,0.010769,0.010478,0.000291,-0.043959,-0.029050,-0.014909,-0.030423,-0.018951,-0.011472
2026-04-22T04:36:24.051Z,1776832584051,1776832584051,0.580771,0.539578,0.515949,0.131684,0.526041,77532.07,77557.32,77523.64,0.560000,0.580000,0.420000,0.440000,515949,516,0.580000,0.000771,0.010419,-0.009648,-0.053959,-0.031835,-0.022124,-0.040422,-0.021089,-0.019333
2026-04-22T04:36:24.454Z,1776832584454,1776832584454,0.600141,0.549762,0.515546,0.133501,0.532920,77534.27,77557.32,77523.64,0.560000,0.580000,0.420000,0.440000,515546,516,0.580000,0.020141,0.009360,0.010781,-0.047080,-0.035619,-0.011461,-0.030238,-0.024227,-0.006011
2026-04-22T04:36:24.827Z,1776832584827,1776832584827,0.600177,0.549780,0.515173,0.133501,0.532932,77534.27,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,515173,515,0.580000,0.020177,0.011237,0.008940,-0.047068,-0.037717,-0.009352,-0.030220,-0.025347,-0.004873
2026-04-22T04:36:25.033Z,1776832585033,1776832585033,0.611937,0.554878,0.514967,0.130711,0.536145,77535.30,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,514967,515,0.580000,0.031937,0.014116,0.017821,-0.043855,-0.038813,-0.005042,-0.025122,-0.025466,0.000344
2026-04-22T04:36:26.335Z,1776832586335,1776832586335,0.633528,0.568623,0.513665,0.138309,0.545935,77538.42,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,513665,514,0.580000,0.053528,0.017213,0.036315,-0.034065,-0.039877,0.005813,-0.011377,-0.025521,0.014144
2026-04-22T04:36:27.001Z,1776832587001,1776832587001,0.643452,0.572469,0.512999,0.134704,0.548213,77539.14,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,512999,513,0.580000,0.063452,0.020216,0.043236,-0.031787,-0.040800,0.009013,-0.007531,-0.025426,0.017895
2026-04-22T04:36:27.946Z,1776832587946,1776832587946,0.653796,0.576411,0.512054,0.131243,0.550537,77539.87,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,512054,512,0.580000,0.073796,0.025207,0.048589,-0.029463,-0.040497,0.011034,-0.003589,-0.023948,0.020359
2026-04-22T04:36:29.282Z,1776832589282,1776832589282,0.652322,0.574114,0.510718,0.127714,0.548679,77539.25,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,510718,511,0.580000,0.072322,0.031230,0.041091,-0.031321,-0.039963,0.008642,-0.005886,-0.022078,0.016192
2026-04-22T04:36:30.342Z,1776832590342,1776832590342,0.652502,0.572598,0.509658,0.124072,0.547347,77538.81,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,509658,510,0.580000,0.072502,0.036760,0.035742,-0.032653,-0.039654,0.007000,-0.007402,-0.020526,0.013124
2026-04-22T04:36:31.024Z,1776832591024,1776832591024,0.651645,0.570646,0.508976,0.120641,0.545761,77538.30,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,508976,509,0.580000,0.071645,0.041939,0.029706,-0.034239,-0.039521,0.005282,-0.009354,-0.019221,0.009867
2026-04-22T04:36:32.116Z,1776832592116,1776832592116,0.658747,0.572411,0.507884,0.117050,0.546596,77538.55,77557.32,77523.64,0.570000,0.580000,0.420000,0.430000,507884,508,0.580000,0.078747,0.048027,0.030720,-0.033404,-0.038549,0.005144,-0.007589,-0.017114,0.009525
2026-04-22T04:36:32.281Z,1776832592281,1776832592281,0.658771,0.572423,0.507719,0.117050,0.546603,77538.55,77557.32,77523.64,0.570000,0.590000,0.410000,0.430000,507719,508,0.590000,0.068771,0.055825,0.012947,-0.043397,-0.036493,-0.006903,-0.017577,-0.013831,-0.003746
2026-04-22T04:36:32.495Z,1776832592495,1776832592495,0.658803,0.572438,0.507505,0.117050,0.546613,77538.55,77557.32,77523.64,0.580000,0.590000,0.410000,0.420000,507505,508,0.590000,0.068803,0.060688,0.008115,-0.043387,-0.036125,-0.007262,-0.017562,-0.012565,-0.004997
2026-04-22T04:36:33.357Z,1776832593357,1776832593357,0.676927,0.583301,0.506643,0.121069,0.554102,77540.92,77557.32,77523.64,0.580000,0.590000,0.410000,0.420000,506643,507,0.590000,0.086927,0.065550,0.021377,-0.035898,-0.035757,-0.000141,-0.006699,-0.011299,0.004600
2026-04-22T04:36:33.461Z,1776832593461,1776832593461,0.676944,0.583310,0.506539,0.121069,0.554108,77540.92,77557.32,77523.64,0.570000,0.590000,0.410000,0.430000,506539,507,0.590000,0.086944,0.071049,0.015895,-0.035892,-0.034961,-0.000931,-0.006690,-0.009457,0.002766
2026-04-22T04:36:33.468Z,1776832593468,1776832593468,0.676945,0.583310,0.506532,0.121069,0.554108,77540.92,77557.32,77523.64,0.560000,0.580000,0.420000,0.440000,506532,507,0.580000,0.096945,0.074391,0.022554,-0.025892,-0.035144,0.009252,0.003310,-0.008988,0.012298
2026-04-22T04:36:33.547Z,1776832593547,1776832593547,0.676958,0.583317,0.506453,0.121069,0.554113,77540.92,77557.32,77523.64,0.560000,0.570000,0.430000,0.440000,506453,506,0.570000,0.106958,0.077740,0.029218,-0.015887,-0.034554,0.018667,0.013317,-0.007904,0.021220
2026-04-22T04:36:34.044Z,1776832594044,1776832594044,0.682210,0.583938,0.505956,0.117380,0.554139,77540.92,77557.32,77523.64,0.560000,0.570000,0.430000,0.440000,505956,506,0.570000,0.112210,0.081057,0.031153,-0.015861,-0.033197,0.017336,0.013938,-0.006213,0.020152
