iso_time,ts,published_at,chainlink_ts,binance_ts,fair_value,fair_value_sigma_1m,fair_value_sigma_5m,fair_value_blended_sigma,confidence,annualized_sigma,annualized_sigma_1m,annualized_sigma_5m,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-24T05:00:15.901Z,1777006815901,1777006815901,1777006814000,1777006815431,0.533270,0.527617,0.507177,0.520933,0.884099,0.180925,0.217484,0.759576,0.515138,77691.63,77706.89,77685.38,0.520000,0.530000,0.470000,0.480000,884099,884,0.530000,0.003270,,,-0.014862,,,-0.009067,,
2026-04-24T05:00:16.541Z,1777006816541,1777006816541,1777006815000,1777006815431,0.536081,0.529050,0.507589,0.522243,0.883459,0.175505,0.217484,0.759576,0.515939,77691.95,77706.89,77685.38,0.530000,0.540000,0.460000,0.470000,883459,883,0.540000,-0.003919,,,-0.024061,,,-0.017757,,
2026-04-24T05:00:17.041Z,1777006817041,1777006817041,1777006816000,1777006815431,0.536266,0.528305,0.507375,0.521881,0.882959,0.170185,0.217484,0.759576,0.515523,77691.78,77706.89,77685.38,0.530000,0.540000,0.460000,0.470000,882959,883,0.540000,-0.003734,,,-0.024477,,,-0.018119,,
2026-04-24T05:00:18.297Z,1777006818297,1777006818297,1777006817000,1777006817345,0.542124,0.532014,0.508440,0.524972,0.881703,0.165651,0.217484,0.759576,0.517597,77692.61,77706.89,77685.38,0.530000,0.540000,0.460000,0.470000,881703,882,0.540000,0.002124,,,-0.022403,,,-0.015028,,
2026-04-24T05:00:19.367Z,1777006819367,1777006819367,1777006818000,1777006818379,0.547082,0.534783,0.509236,0.527378,0.880633,0.160976,0.217484,0.759576,0.519146,77693.23,77706.89,77685.38,0.530000,0.540000,0.460000,0.470000,880633,881,0.540000,0.007082,,,-0.020854,,,-0.012622,,
2026-04-24T05:00:20.811Z,1777006820811,1777006820811,1777006819000,1777006820385,0.548431,0.534686,0.509209,0.527552,0.879189,0.156073,0.217484,0.759576,0.519092,77693.20,77707.71,77685.38,0.530000,0.540000,0.460000,0.470000,879189,879,0.540000,0.008431,,,-0.020908,,,-0.012448,,
2026-04-24T05:00:21.502Z,1777006821502,1777006821502,1777006820000,1777006821427,0.549978,0.534703,0.509214,0.527812,0.878498,0.151318,0.217484,0.759576,0.519102,77693.20,77717.51,77685.38,0.530000,0.540000,0.460000,0.470000,878498,878,0.540000,0.009978,,,-0.020898,,,-0.012188,,
2026-04-24T05:00:21.769Z,1777006821769,1777006821769,1777006820000,1777006821427,0.549986,0.534708,0.509215,0.527817,0.878231,0.151318,0.217484,0.759576,0.519105,77693.20,77717.51,77685.38,0.530000,0.550000,0.450000,0.470000,878231,878,0.550000,-0.000014,,,-0.030895,,,-0.022183,,
2026-04-24T05:00:21.876Z,1777006821876,1777006821876,1777006820000,1777006821427,0.549989,0.534710,0.509216,0.527818,0.878124,0.151318,0.217484,0.759576,0.519106,77693.20,77717.51,77685.38,0.540000,0.550000,0.450000,0.460000,878124,878,0.550000,-0.000011,,,-0.030894,,,-0.022182,,
2026-04-24T05:00:22.006Z,1777006822006,1777006822006,1777006821000,1777006821427,0.551667,0.534782,0.509237,0.528120,0.877994,0.146709,0.217484,0.759576,0.519146,77693.21,77717.51,77685.38,0.540000,0.550000,0.450000,0.460000,877994,878,0.550000,0.001667,,,-0.030854,,,-0.021880,,
2026-04-24T05:00:22.707Z,1777006822707,1777006822707,1777006821000,1777006822431,0.551688,0.534796,0.509241,0.528132,0.877293,0.146709,0.217484,0.759576,0.519154,77693.21,77716.21,77685.38,0.530000,0.540000,0.460000,0.470000,877293,877,0.540000,0.011688,0.002487,0.009200,-0.020846,-0.024111,0.003265,-0.011868,-0.016347,0.004479
2026-04-24T05:00:23.252Z,1777006823252,1777006823252,1777006822000,1777006822431,0.559566,0.539204,0.510509,0.531917,0.876748,0.143307,0.217484,0.759576,0.521622,77694.20,77716.21,77685.38,0.530000,0.540000,0.460000,0.470000,876748,877,0.540000,0.019566,0.003329,0.016237,-0.018378,-0.024709,0.006331,-0.008083,-0.016627,0.008544
2026-04-24T05:00:24.395Z,1777006824395,1777006824395,1777006823000,1777006823404,0.578896,0.555969,0.515341,0.544720,0.875605,0.154088,0.217484,0.759576,0.531025,77697.96,77716.21,77685.38,0.530000,0.540000,0.460000,0.470000,875605,876,0.540000,0.038896,0.005678,0.033218,-0.008975,-0.024141,0.015166,0.004720,-0.015660,0.020380
2026-04-24T05:00:24.584Z,1777006824584,1777006824584,1777006823000,1777006824306,0.578904,0.555975,0.515343,0.544724,0.875416,0.154088,0.217484,0.759576,0.531028,77697.96,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,875416,875,0.550000,0.028904,0.009941,0.018964,-0.018972,-0.022591,0.003619,-0.005276,-0.013376,0.008101
2026-04-24T05:00:24.968Z,1777006824968,1777006824968,1777006824000,1777006824306,0.581304,0.555937,0.515332,0.545086,0.875032,0.149394,0.217484,0.759576,0.531007,77697.95,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,875032,875,0.550000,0.031304,0.012619,0.018686,-0.018993,-0.022247,0.003254,-0.004914,-0.012401,0.007487
2026-04-24T05:00:26.121Z,1777006826121,1777006826121,1777006825000,1777006825409,0.582052,0.554767,0.514995,0.544512,0.873879,0.144923,0.217484,0.759576,0.530350,77697.68,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,873879,874,0.550000,0.032052,0.015041,0.017011,-0.019650,-0.022061,0.002411,-0.005488,-0.011630,0.006142
2026-04-24T05:00:27.354Z,1777006827354,1777006827354,1777006826000,1777006826260,0.591407,0.559825,0.516458,0.548917,0.872646,0.141925,0.217484,0.759576,0.533193,77698.81,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,872646,873,0.550000,0.041407,0.017403,0.024004,-0.016807,-0.021936,0.005129,-0.001083,-0.010934,0.009852
2026-04-24T05:00:28.350Z,1777006828350,1777006828350,1777006827000,1777006827410,0.590190,0.557371,0.515748,0.547258,0.871650,0.137958,0.217484,0.759576,0.531814,77698.25,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,871650,872,0.550000,0.040190,0.020546,0.019644,-0.018186,-0.021526,0.003340,-0.002742,-0.009824,0.007082
2026-04-24T05:00:28.973Z,1777006828973,1777006828973,1777006828000,1777006828383,0.594672,0.558459,0.516063,0.548540,0.871027,0.133822,0.217484,0.759576,0.532425,77698.49,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,871027,871,0.550000,0.044672,0.024566,0.020105,-0.017575,-0.020255,0.002681,-0.001460,-0.007880,0.006420
2026-04-24T05:00:30.126Z,1777006830126,1777006830126,1777006829000,1777006829224,0.589249,0.553913,0.514750,0.544995,0.869874,0.131021,0.217484,0.759576,0.529871,77697.46,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,869874,870,0.550000,0.039249,0.029035,0.010215,-0.020129,-0.018924,-0.001205,-0.005005,-0.005807,0.000802
2026-04-24T05:00:31.234Z,1777006831234,1777006831234,1777006830000,1777006830289,0.592070,0.553948,0.514761,0.545374,0.868766,0.127029,0.217484,0.759576,0.529891,77697.46,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,868766,869,0.550000,0.042070,0.032793,0.009277,-0.020109,-0.017851,-0.002258,-0.004626,-0.004120,-0.000506
2026-04-24T05:00:32.299Z,1777006832299,1777006832299,1777006831000,1777006831312,0.594897,0.553936,0.514758,0.545709,0.867701,0.123160,0.217484,0.759576,0.529885,77697.45,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,867701,868,0.550000,0.044897,0.035831,0.009066,-0.020115,-0.017777,-0.002338,-0.004291,-0.003396,-0.000895
2026-04-24T05:00:32.923Z,1777006832923,1777006832923,1777006832000,1777006832269,0.604867,0.558568,0.516096,0.549879,0.867077,0.120805,0.217484,0.759576,0.532488,77698.48,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,867077,867,0.550000,0.054867,0.038364,0.016503,-0.017512,-0.017951,0.000439,-0.000121,-0.003016,0.002896
2026-04-24T05:00:34.091Z,1777006834091,1777006834091,1777006833000,1777006833383,0.597673,0.553582,0.514656,0.545799,0.865909,0.118811,0.217484,0.759576,0.529686,77697.36,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,865909,866,0.550000,0.047673,0.039961,0.007712,-0.020314,-0.018805,-0.001510,-0.004201,-0.003501,-0.000701
2026-04-24T05:00:35.170Z,1777006835170,1777006835170,1777006834000,1777006833383,0.598304,0.552342,0.514298,0.545049,0.864830,0.115302,0.217484,0.759576,0.528989,77697.07,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,864830,865,0.550000,0.048304,0.041838,0.006466,-0.021011,-0.018939,-0.002072,-0.004951,-0.003393,-0.001558
2026-04-24T05:00:36.349Z,1777006836349,1777006836349,1777006835000,1777006833383,0.601410,0.552382,0.514311,0.545402,0.863651,0.111789,0.217484,0.759576,0.529012,77697.07,77716.21,77685.38,0.540000,0.550000,0.450000,0.460000,863651,864,0.550000,0.051410,0.043538,0.007872,-0.020988,-0.019141,-0.001847,-0.004598,-0.003397,-0.001201
2026-04-24T05:00:36.383Z,1777006836383,1777006836383,1777006835000,1777006833383,0.601412,0.552383,0.514311,0.545403,0.863617,0.111789,0.217484,0.759576,0.529013,77697.07,77716.21,77685.38,0.540000,0.560000,0.440000,0.460000,863617,864,0.560000,0.041412,0.045474,-0.004062,-0.030987,-0.019275,-0.011713,-0.014597,-0.003308,-0.011290
2026-04-24T05:00:36.390Z,1777006836390,1777006836390,1777006835000,1777006833383,0.601412,0.552383,0.514311,0.545403,0.863610,0.111789,0.217484,0.759576,0.529013,77697.07,77716.21,77685.38,0.540000,0.570000,0.430000,0.460000,863610,864,0.570000,0.031412,0.045474,-0.014062,-0.040987,-0.020693,-0.020294,-0.024597,-0.004659,-0.019938
