iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-01T14:15:14.529Z,1777644913000,1777644914417,1777644914529,1777644914529,885471,885,78681.81,78689.48,78709.89,0.552015,0.427330,0.547967,0.562161,0.520096,0.490000,0.500000,0.500000,0.510000,0.047967,,,0,0.062161,,,0,0.020096,,,0
2026-05-01T14:15:15.607Z,1777644914000,1777644915385,1777644915607,1777644915607,884393,884,78681.81,78689.98,78709.89,0.552015,0.427330,0.547997,0.562199,0.521437,0.490000,0.500000,0.500000,0.510000,0.047997,,,0,0.062199,,,0,0.021437,,,0
2026-05-01T14:15:16.244Z,1777644915000,1777644915385,1777644916244,1777644916244,883756,884,78681.81,78701.97,78709.89,0.552015,0.427330,0.548015,0.562222,0.553372,0.490000,0.500000,0.500000,0.510000,0.048015,,,0,0.062222,,,0,0.053372,,,0
2026-05-01T14:15:17.266Z,1777644916000,1777644916422,1777644917266,1777644917266,882734,883,78681.81,78698.38,78709.89,0.552015,0.427330,0.548043,0.562258,0.543886,0.490000,0.500000,0.500000,0.510000,0.048043,,,0,0.062258,,,0,0.043886,,,0
2026-05-01T14:15:18.991Z,1777644918000,1777644918391,1777644918991,1777644918991,881009,881,78681.81,78696.67,78706.57,0.552015,0.427330,0.542343,0.554928,0.539364,0.490000,0.500000,0.500000,0.510000,0.042343,,,0,0.054928,,,0,0.039364,,,0
2026-05-01T14:15:20.227Z,1777644919000,1777644919426,1777644920227,1777644920227,879773,880,78681.81,78695.72,78706.57,0.552015,0.427330,0.542374,0.554967,0.536845,0.490000,0.500000,0.500000,0.510000,0.042374,,,0,0.054967,,,0,0.036845,,,0
2026-05-01T14:15:21.365Z,1777644920000,1777644921430,1777644921365,1777644921365,878635,879,78681.81,78694.55,78706.57,0.552015,0.427330,0.542402,0.555003,0.533747,0.490000,0.500000,0.500000,0.510000,0.042402,,,0,0.055003,,,0,0.033747,,,0
2026-05-01T14:15:22.499Z,1777644921000,1777644922387,1777644922499,1777644922499,877501,878,78681.81,78695.24,78706.57,0.552015,0.427330,0.542430,0.555038,0.535612,0.490000,0.500000,0.500000,0.510000,0.042430,,,0,0.055038,,,0,0.035612,,,0
2026-05-01T14:15:23.224Z,1777644922000,1777644922387,1777644923224,1777644923224,876776,877,78681.81,78695.14,78706.57,0.552015,0.427330,0.542448,0.555061,0.535368,0.490000,0.500000,0.500000,0.510000,0.042448,,,0,0.055061,,,0,0.035368,,,0
2026-05-01T14:15:24.275Z,1777644923000,1777644923424,1777644924275,1777644924275,875725,876,78681.81,78695.16,78706.57,0.552015,0.427330,0.542474,0.555095,0.535432,0.490000,0.500000,0.500000,0.510000,0.042474,,,0,0.055095,,,0,0.035432,,,0
2026-05-01T14:15:25.592Z,1777644924000,1777644925424,1777644925592,1777644925592,874408,874,78681.81,78695.09,78706.57,0.552015,0.427330,0.542506,0.555137,0.535281,0.490000,0.500000,0.500000,0.510000,0.042506,0.044649,-0.002143,0,0.055137,0.057893,-0.002757,0,0.035281,0.035516,-0.000235,0
