iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-08T17:45:36.885Z,1778262335000,1778262336383,1778262336885,1778262336885,863115,863,80116.76,80174.74,80187.51,0.400888,0.391304,0.662685,0.666452,0.656824,0.650000,0.660000,buy,0.660000,0.671880,0.018000,0.340000,0.350000,-0.009195,,,0,-0.005428,,,0,-0.015056,,,0
2026-05-08T17:45:37.225Z,1778262336000,1778262336383,1778262337225,1778262337225,862775,863,80116.76,80174.75,80187.51,0.400888,0.391304,0.662716,0.666483,0.656866,0.650000,0.660000,buy,0.660000,0.671880,0.018000,0.340000,0.350000,-0.009164,,,0,-0.005397,,,0,-0.015014,,,0
2026-05-08T17:45:38.940Z,1778262337000,1778262338408,1778262338940,1778262338940,861060,861,80116.76,80174.69,80187.51,0.400888,0.391304,0.662869,0.666639,0.656873,0.650000,0.660000,buy,0.660000,0.671880,0.018000,0.340000,0.350000,-0.009011,,,0,-0.005241,,,0,-0.015007,,,0
2026-05-08T17:45:40.651Z,1778262339000,1778262340426,1778262340651,1778262340651,859349,859,80116.76,80173.47,80187.51,0.400888,0.391304,0.663023,0.666796,0.653883,0.650000,0.660000,buy,0.660000,0.671880,0.018000,0.340000,0.350000,-0.008857,,,0,-0.005084,,,0,0.015583,,,0
2026-05-08T17:45:41.268Z,1778262340000,1778262340426,1778262341268,1778262341268,858732,859,80116.76,80174.04,80187.51,0.400888,0.391304,0.663078,0.666852,0.655401,0.650000,0.660000,buy,0.660000,0.671880,0.018000,0.340000,0.350000,-0.008802,,,0,-0.005028,,,0,-0.016479,,,0
2026-05-08T17:45:42.671Z,1778262341000,1778262342415,1778262342671,1778262342671,857329,857,80116.76,80174.62,80187.51,0.400888,0.391304,0.663204,0.666981,0.657006,0.650000,0.660000,buy,0.660000,0.671880,0.018000,0.340000,0.350000,-0.008676,,,0,-0.004899,,,0,-0.014874,,,0
2026-05-08T17:45:43.368Z,1778262342000,1778262342415,1778262343368,1778262343368,856632,857,80116.76,80174.87,80187.51,0.400888,0.391304,0.663267,0.667045,0.657727,0.640000,0.650000,buy,0.650000,0.661700,0.018000,0.350000,0.360000,0.001567,,,0,0.005345,,,0,-0.003973,,,0
2026-05-08T17:45:43.648Z,1778262342000,1778262343430,1778262343648,1778262343648,856352,856,80116.76,80174.87,80163.14,0.400888,0.391304,0.608735,0.611348,0.657751,0.630000,0.650000,buy,0.650000,0.661700,0.018000,0.350000,0.370000,-0.009925,,,0,-0.007312,,,0,-0.003949,,,0
2026-05-08T17:45:43.722Z,1778262342000,1778262343430,1778262343722,1778262343722,856278,856,80116.76,80174.87,80163.14,0.400888,0.391304,0.608740,0.611353,0.657758,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.009920,,,0,-0.007307,,,0,0.006238,,,0
2026-05-08T17:45:43.791Z,1778262342000,1778262343430,1778262343791,1778262343791,856209,856,80116.76,80174.87,80163.14,0.400888,0.391304,0.608744,0.611357,0.657764,0.610000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.390000,0.009724,,,0,0.012337,,,0,0.006244,,,0
