iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_sigma_5m_for_fv,fair_value_sigma_10m_for_fv,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_sigma_5m_for_fv,g_sigma_5m_for_fv,f_minus_g_sigma_5m_for_fv,trade_signal_sigma_5m_for_fv,f_sigma_10m_for_fv,g_sigma_10m_for_fv,f_minus_g_sigma_10m_for_fv,trade_signal_sigma_10m_for_fv,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-23T15:15:16.593Z,1779549315000,1779549313384,1779549316593,1779549316593,883407,883,75551.73,75521.39,75542.36,0.234700,0.096329,0.459970,0.403759,0.467079,0.462902,0.410852,0.370000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.630000,0.073130,,,0,0.016919,,,0,0.080239,,,0,0.076062,,,0,0.024012,,,0
2026-05-23T15:15:17.183Z,1779549316000,1779549313384,1779549317183,1779549317183,882817,883,75551.73,75521.21,75542.36,0.234700,0.096329,0.459956,0.403728,0.467068,0.462890,0.410296,0.370000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.630000,0.073116,,,0,0.016888,,,0,0.080228,,,0,0.076050,,,0,0.023456,,,0
2026-05-23T15:15:18.477Z,1779549317000,1779549318190,1779549318477,1779549318477,881523,882,75551.73,75521.29,75542.36,0.234700,0.096329,0.459927,0.403659,0.467044,0.462863,0.410487,0.370000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.630000,0.073087,,,0,0.016819,,,0,0.080204,,,0,0.076023,,,0,0.023647,,,0
2026-05-23T15:15:19.131Z,1779549318000,1779549318190,1779549319131,1779549319131,880869,881,75551.73,75522.16,75542.36,0.234700,0.096329,0.459913,0.403624,0.467032,0.462850,0.412958,0.370000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.630000,0.073073,,,0,0.016784,,,0,0.080192,,,0,0.076010,,,0,0.026118,,,0
2026-05-23T15:15:20.321Z,1779549319000,1779549319403,1779549320321,1779549320321,879679,880,75551.73,75522.96,75542.36,0.234700,0.096329,0.459886,0.403560,0.467010,0.462825,0.415197,0.370000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.630000,0.073046,,,0,0.016720,,,0,0.080170,,,0,0.075985,,,0,0.028357,,,0
2026-05-23T15:15:20.582Z,1779549319000,1779549320408,1779549320582,1779549320582,879418,879,75551.73,75522.96,75541.80,0.234700,0.096329,0.457549,0.398014,0.465092,0.460660,0.415185,0.360000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.640000,0.070709,,,0,0.011174,,,0,0.078252,,,0,0.073820,,,0,0.028345,,,0
2026-05-23T15:15:20.730Z,1779549319000,1779549320408,1779549320730,1779549320730,879270,879,75551.73,75522.96,75541.80,0.234700,0.096329,0.457546,0.398005,0.465089,0.460657,0.415178,0.360000,0.370000,buy,0.370000,0.376660,0.018000,0.630000,0.640000,0.080886,,,0,0.021345,,,0,0.088429,,,0,0.083997,,,0,0.038518,,,0
2026-05-23T15:15:20.857Z,1779549319000,1779549320408,1779549320857,1779549320857,879143,879,75551.73,75522.96,75541.80,0.234700,0.096329,0.457543,0.397998,0.465087,0.460654,0.415172,0.350000,0.370000,buy,0.370000,0.376660,0.018000,0.630000,0.650000,0.080883,,,0,0.021338,,,0,0.088427,,,0,0.083994,,,0,0.038512,,,0
2026-05-23T15:15:21.424Z,1779549320000,1779549321417,1779549321424,1779549321424,878576,879,75551.73,75522.80,75540.14,0.234700,0.096329,0.450500,0.381389,0.459302,0.454129,0.414677,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.084020,,,0,0.014909,,,0,0.092822,,,0,0.087649,,,0,0.048197,,,0
2026-05-23T15:15:22.129Z,1779549321000,1779549321417,1779549322129,1779549322129,877871,878,75551.73,75521.93,75540.14,0.234700,0.096329,0.450480,0.381343,0.459286,0.454111,0.412139,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.084000,,,0,0.014863,,,0,0.092806,,,0,0.087631,,,0,0.045659,,,0
2026-05-23T15:15:23.354Z,1779549322000,1779549322404,1779549323354,1779549323354,876646,877,75551.73,75520.00,75540.04,0.234700,0.096329,0.449980,0.380170,0.458876,0.453648,0.406509,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083500,0.076595,0.006905,0,0.013690,0.016776,-0.003086,0,0.092396,0.084177,0.008219,0,0.087168,0.079722,0.007446,0,0.040029,0.032482,0.007547,0
2026-05-23T15:15:24.593Z,1779549323000,1779549324404,1779549324593,1779549324593,875407,875,75551.73,75519.49,75540.04,0.234700,0.096329,0.449945,0.380088,0.458847,0.453616,0.404966,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083465,0.077632,0.005833,0,0.013608,0.016453,-0.002845,0,0.092367,0.085393,0.006975,0,0.087136,0.080833,0.006303,0,0.038486,0.034084,0.004402,0
2026-05-23T15:15:25.156Z,1779549324000,1779549324404,1779549325156,1779549325156,874844,875,75551.73,75519.48,75540.04,0.234700,0.096329,0.449929,0.380051,0.458834,0.453601,0.404922,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083449,0.078667,0.004783,0,0.013571,0.016125,-0.002554,0,0.092354,0.086607,0.005748,0,0.087121,0.081941,0.005180,0,0.038442,0.035587,0.002856,0
2026-05-23T15:15:26.433Z,1779549325000,1779549325401,1779549326433,1779549326433,873567,874,75551.73,75517.40,75540.04,0.234700,0.096329,0.449893,0.379966,0.458805,0.453568,0.398873,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083413,0.079703,0.003710,0,0.013486,0.015800,-0.002314,0,0.092325,0.087822,0.004503,0,0.087088,0.083051,0.004037,0,0.032393,0.037066,-0.004673,0
2026-05-23T15:15:27.037Z,1779549326000,1779549325401,1779549327037,1779549327037,872963,873,75551.73,75516.86,75540.04,0.234700,0.096329,0.449876,0.379926,0.458791,0.453552,0.397271,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083396,0.080737,0.002659,0,0.013446,0.015470,-0.002025,0,0.092311,0.089035,0.003276,0,0.087072,0.084159,0.002913,0,0.030791,0.037694,-0.006903,0
2026-05-23T15:15:28.185Z,1779549327000,1779549325401,1779549328185,1779549328185,871815,872,75551.73,75518.47,75540.04,0.234700,0.096329,0.449844,0.379849,0.458764,0.453522,0.401830,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083364,0.081772,0.001592,0,0.013369,0.015143,-0.001774,0,0.092284,0.090249,0.002035,0,0.087042,0.085268,0.001774,0,0.035350,0.037937,-0.002587,0
2026-05-23T15:15:29.380Z,1779549328000,1779549328159,1779549329380,1779549329380,870620,871,75551.73,75516.86,75540.04,0.234700,0.096329,0.449810,0.379770,0.458736,0.453491,0.397131,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083330,0.083038,0.000292,0,0.013290,0.015363,-0.002073,0,0.092256,0.091652,0.000604,0,0.087011,0.086590,0.000421,0,0.030651,0.038638,-0.007986,0
2026-05-23T15:15:29.972Z,1779549329000,1779549329283,1779549329972,1779549329972,870028,870,75551.73,75516.86,75540.01,0.234700,0.096329,0.449666,0.379431,0.458618,0.453357,0.397098,0.350000,0.360000,buy,0.360000,0.366480,0.018000,0.640000,0.650000,0.083186,0.083282,-0.000096,0,0.012951,0.014557,-0.001606,0,0.092138,0.092035,0.000103,0,0.086877,0.086891,-0.000014,0,0.030618,0.037851,-0.007233,0
2026-05-23T15:15:30.086Z,1779549329000,1779549329283,1779549330086,1779549330086,869914,870,75551.73,75516.86,75540.01,0.234700,0.096329,0.449662,0.379424,0.458615,0.453354,0.397092,0.340000,0.350000,buy,0.350000,0.356300,0.018000,0.650000,0.660000,0.093362,0.083512,0.009850,0,0.023124,0.013718,0.009405,0,0.102315,0.092406,0.009909,0,0.097054,0.087179,0.009874,0,0.040792,0.037062,0.003730,0
2026-05-23T15:15:30.117Z,1779549329000,1779549329283,1779549330117,1779549330117,869883,870,75551.73,75516.86,75540.01,0.234700,0.096329,0.449662,0.379422,0.458614,0.453353,0.397090,0.330000,0.350000,buy,0.350000,0.356300,0.018000,0.650000,0.670000,0.093362,0.084447,0.008915,0,0.023122,0.014540,0.008582,0,0.102314,0.093355,0.008959,0,0.097053,0.088120,0.008933,0,0.040790,0.036321,0.004469,0
2026-05-23T15:15:30.244Z,1779549329000,1779549329283,1779549330244,1779549330244,869756,870,75551.73,75516.86,75540.01,0.234700,0.096329,0.449658,0.379413,0.458611,0.453350,0.397082,0.330000,0.340000,buy,0.340000,0.346120,0.018000,0.660000,0.670000,0.103538,0.085383,0.018155,0,0.033293,0.015366,0.017927,0,0.112491,0.094306,0.018185,0,0.107230,0.089062,0.018168,0,0.050962,0.035834,0.015128,0
2026-05-23T15:15:33.917Z,1779549332000,1779549333283,1779549333917,1779549333917,866083,866,75551.73,75506.57,75524.96,0.234700,0.096329,0.386371,0.241223,0.406365,0.394585,0.367555,0.290000,0.300000,buy,0.300000,0.305400,0.018000,0.700000,0.710000,0.080971,0.087387,-0.006416,0,-0.043557,0.017326,-0.060883,0,0.100965,0.096316,0.004650,0,0.089185,0.091068,-0.001883,0,0.062155,0.036928,0.025227,0
2026-05-23T15:15:35.362Z,1779549334000,1779549334419,1779549335362,1779549335362,864638,865,75551.73,75505.82,75524.96,0.234700,0.096329,0.386279,0.241040,0.406289,0.394499,0.365349,0.290000,0.300000,buy,0.300000,0.305400,0.018000,0.700000,0.710000,0.080879,0.087137,-0.006258,0,-0.043740,0.011609,-0.055349,0,0.100889,0.097175,0.003714,0,0.089099,0.091273,-0.002174,0,0.059949,0.039294,0.020655,0
2026-05-23T15:15:38.777Z,1779549337000,1779549338427,1779549338777,1779549338777,861223,861,75551.73,75504.56,75524.96,0.234700,0.096329,0.386061,0.240607,0.406108,0.394296,0.361542,0.290000,0.300000,buy,0.300000,0.305400,0.018000,0.700000,0.710000,0.080661,0.086880,-0.006219,0,-0.044173,0.005878,-0.050051,0,0.100708,0.098029,0.002679,0,0.088896,0.091471,-0.002575,0,0.056142,0.041445,0.014697,0
2026-05-23T15:15:39.291Z,1779549338000,1779549338427,1779549339291,1779549339291,860709,861,75551.73,75504.56,75524.96,0.234700,0.096329,0.386028,0.240541,0.406081,0.394266,0.361502,0.290000,0.300000,buy,0.300000,0.305400,0.018000,0.700000,0.710000,0.080628,0.086605,-0.005977,0,-0.044239,0.000112,-0.044351,0,0.100681,0.098867,0.001813,0,0.088866,0.091652,-0.002786,0,0.056102,0.043820,0.012283,0
2026-05-23T15:15:39.822Z,1779549338000,1779549339424,1779549339822,1779549339822,860178,860,75551.73,75504.56,75521.61,0.234700,0.096329,0.372267,0.213981,0.394627,0.381442,0.361462,0.280000,0.300000,buy,0.300000,0.305400,0.018000,0.700000,0.720000,0.066867,0.086328,-0.019461,0,-0.060979,-0.005656,-0.055323,-1,0.089227,0.099704,-0.010477,0,0.076042,0.091831,-0.015789,0,0.056062,0.046351,0.009711,0
2026-05-23T15:15:40.370Z,1779549339000,1779549339424,1779549340370,1779549340370,859630,860,75551.73,75504.33,75521.61,0.234700,0.096329,0.372228,0.213907,0.394595,0.381406,0.360761,0.280000,0.290000,buy,0.290000,0.295220,0.018000,0.710000,0.720000,0.077008,0.084678,-0.007671,0,-0.061053,-0.013091,-0.047962,-1,0.099375,0.099399,-0.000024,0,0.086186,0.090731,-0.004545,0,0.065541,0.048422,0.017119,0
2026-05-23T15:15:41.518Z,1779549340000,1779549341234,1779549341518,1779549341518,858482,858,75551.73,75503.20,75521.61,0.234700,0.096329,0.372146,0.213753,0.394526,0.381329,0.357505,0.280000,0.290000,buy,0.290000,0.295220,0.018000,0.710000,0.720000,0.076926,0.084046,-0.007120,0,-0.061207,-0.020525,-0.040682,-1,0.099306,0.100110,-0.000804,0,0.086109,0.090649,-0.004539,0,0.062285,0.051911,0.010374,0
2026-05-23T15:15:42.072Z,1779549341000,1779549341234,1779549342072,1779549342072,857928,858,75551.73,75502.98,75521.61,0.234700,0.096329,0.372106,0.213678,0.394493,0.381292,0.356843,0.280000,0.290000,buy,0.290000,0.295220,0.018000,0.710000,0.720000,0.076886,0.083420,-0.006534,0,-0.061282,-0.027941,-0.033341,0,0.099273,0.100827,-0.001554,0,0.086072,0.090572,-0.004500,0,0.061623,0.055078,0.006545,0
2026-05-23T15:15:43.213Z,1779549342000,1779549342408,1779549343213,1779549343213,856787,857,75551.73,75502.96,75521.61,0.234700,0.096329,0.372024,0.213525,0.394425,0.381216,0.356694,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076804,0.081772,-0.004968,0,-0.061435,-0.036381,-0.025054,0,0.099205,0.100523,-0.001318,0,0.085996,0.089474,-0.003478,0,0.061474,0.057161,0.004313,0
2026-05-23T15:15:44.347Z,1779549343000,1779549343419,1779549344347,1779549344347,855653,856,75551.73,75502.84,75521.61,0.234700,0.096329,0.371943,0.213372,0.394357,0.381140,0.356274,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076723,0.080117,-0.003394,0,-0.061588,-0.044837,-0.016751,0,0.099137,0.100212,-0.001075,0,0.085920,0.088368,-0.002448,0,0.061054,0.059230,0.001825,0
2026-05-23T15:15:45.377Z,1779549344000,1779549344324,1779549345377,1779549345377,854623,855,75551.73,75502.84,75521.61,0.234700,0.096329,0.371869,0.213233,0.394295,0.381071,0.356202,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076649,0.077435,-0.000787,0,-0.061727,-0.054325,-0.007402,0,0.099075,0.098877,0.000199,0,0.085851,0.086237,-0.000386,0,0.060982,0.060239,0.000744,0
2026-05-23T15:15:46.355Z,1779549345000,1779549344324,1779549346355,1779549346355,853645,854,75551.73,75503.04,75521.61,0.234700,0.096329,0.371798,0.213100,0.394237,0.381005,0.356678,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076578,0.077003,-0.000425,0,-0.061860,-0.056142,-0.005717,0,0.099017,0.098688,0.000329,0,0.085785,0.085904,-0.000119,0,0.061458,0.060121,0.001337,0
2026-05-23T15:15:47.731Z,1779549346000,1779549347418,1779549347731,1779549347731,852269,852,75551.73,75503.04,75521.61,0.234700,0.096329,0.371699,0.212914,0.394154,0.380913,0.356568,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076479,0.076573,-0.000094,0,-0.062046,-0.057954,-0.004092,0,0.098934,0.098501,0.000433,0,0.085693,0.085572,0.000120,0,0.061348,0.060272,0.001076,0
2026-05-23T15:15:48.567Z,1779549347000,1779549347418,1779549348567,1779549348567,851433,851,75551.73,75503.03,75521.61,0.234700,0.096329,0.371638,0.212800,0.394103,0.380856,0.356476,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076418,0.076155,0.000263,0,-0.062160,-0.059742,-0.002418,0,0.098883,0.098323,0.000560,0,0.085636,0.085252,0.000384,0,0.061256,0.060793,0.000463,0
2026-05-23T15:15:49.568Z,1779549348000,1779549349311,1779549349568,1779549349568,850432,850,75551.73,75503.06,75521.61,0.234700,0.096329,0.371565,0.212664,0.394043,0.380788,0.356486,0.280000,0.290000,sell,0.280000,0.274960,0.018000,0.710000,0.720000,0.076345,0.075734,0.000612,0,-0.062296,-0.061534,-0.000762,0,0.098823,0.098143,0.000680,0,0.085568,0.084929,0.000639,0,0.061266,0.061308,-0.000042,0
2026-05-23T15:15:49.732Z,1779549348000,1779549349311,1779549349732,1779549349732,850268,850,75551.73,75503.06,75521.61,0.234700,0.096329,0.371554,0.212642,0.394033,0.380777,0.356473,0.280000,0.300000,sell,0.280000,0.274960,0.018000,0.700000,0.720000,0.066154,0.076681,-0.010528,0,-0.062318,-0.061665,-0.000653,0,0.088633,0.099103,-0.010470,0,0.075377,0.085882,-0.010504,0,0.051073,0.061829,-0.010756,0
2026-05-23T15:15:50.623Z,1779549349000,1779549350358,1779549350623,1779549350623,849377,849,75551.73,75503.06,75521.61,0.234700,0.096329,0.371489,0.212521,0.393979,0.380717,0.356402,0.280000,0.300000,sell,0.280000,0.274960,0.018000,0.700000,0.720000,0.066089,0.075596,-0.009507,0,-0.062439,-0.061792,-0.000647,0,0.088579,0.098029,-0.009450,0,0.075317,0.084801,-0.009484,0,0.051002,0.060382,-0.009381,0
2026-05-23T15:15:51.029Z,1779549350000,1779549350358,1779549351029,1779549351029,848971,849,75551.73,75503.06,75521.61,0.234700,0.096329,0.371459,0.212465,0.393954,0.380689,0.356369,0.280000,0.300000,sell,0.280000,0.274960,0.018000,0.700000,0.720000,0.066059,0.074512,-0.008453,0,-0.062495,-0.061915,-0.000580,0,0.088554,0.096956,-0.008402,0,0.075289,0.083722,-0.008432,0,0.050969,0.059254,-0.008285,0
2026-05-23T15:15:51.724Z,1779549350000,1779549350358,1779549351724,1779549351724,848276,848,75551.73,75503.06,75521.61,0.234700,0.096329,0.371409,0.212371,0.393912,0.380642,0.356313,0.290000,0.300000,sell,0.290000,0.284780,0.018000,0.700000,0.710000,0.066009,0.073430,-0.007421,0,-0.072409,-0.062036,-0.010373,0,0.088512,0.095884,-0.007372,0,0.075242,0.082643,-0.007401,0,0.050913,0.058188,-0.007275,0
2026-05-23T15:15:52.586Z,1779549351000,1779549350358,1779549352586,1779549352586,847414,847,75551.73,75503.06,75521.61,0.234700,0.096329,0.371346,0.212253,0.393860,0.380584,0.356225,0.290000,0.300000,sell,0.290000,0.284780,0.018000,0.700000,0.710000,0.065946,0.072350,-0.006404,0,-0.072527,-0.063134,-0.009393,0,0.088460,0.094815,-0.006355,0,0.075184,0.081568,-0.006384,0,0.050825,0.057132,-0.006308,0
